"Program","Project","Processes","TimeStamp(HH:mm:ss)","CPU(%)","RAM(MB)"
"VSCode","Cake","18","16:50:50","0","840.42"
"VSCode","Cake","18","16:50:53","0","839.26"
"VSCode","Cake","18","16:50:55","0","838.77"
"VSCode","Cake","18","16:50:57","0","838.75"
"VSCode","Cake","18","16:51:00","0","838.68"
"VSCode","Cake","18","16:51:02","0.04","851.45"
"VSCode","Cake","18","16:51:04","0","841.34"
"VSCode","Cake","18","16:51:07","0","840.2"
"VSCode","Cake","18","16:51:09","0","837.6"
"VSCode","Cake","18","16:51:12","0","837.42"
"VSCode","Cake","18","16:51:14","0","837.41"
"VSCode","Cake","18","16:51:16","0","837.41"
"VSCode","Cake","18","16:51:19","0","837.39"
"VSCode","Cake","18","16:51:21","0","837.36"
"VSCode","Cake","18","16:51:24","0","837.29"
"VSCode","Cake","18","16:51:26","0.4","851.01"
"VSCode","Cake","18","16:51:28","0.4","851.01"
"VSCode","Mindustry","15","16:54:27","0","764.14"
"VSCode","Mindustry","15","16:54:29","0","764.16"
"VSCode","Mindustry","15","16:54:31","0","764.02"
"VSCode","Mindustry","15","16:54:33","0","764.03"
"VSCode","Mindustry","15","16:54:35","0","764.01"
"VSCode","Mindustry","15","16:54:37","0","764.01"
"VSCode","Mindustry","15","16:54:39","0","763.99"
"VSCode","Mindustry","15","16:54:42","0","763.97"
"VSCode","Mindustry","15","16:54:44","0","763.91"
"VSCode","Mindustry","15","16:54:46","0","763.92"
"VSCode","Mindustry","16","16:54:48","0","777.32"
"VSCode","Mindustry","15","16:54:50","0.14","778.36"
"VSCode","Mindustry","15","16:54:52","0","778.34"
"VSCode","Mindustry","15","16:54:54","0","768.13"
"VSCode","Mindustry","15","16:54:56","0","767.95"
"VSCode","Mindustry","15","16:54:58","0.05","777.93"
"VSCode","Mindustry","15","16:55:00","0","778.02"
"VSCode","Mindustry","15","16:55:02","0","767.86"
"VSCode","Mindustry","15","16:55:05","0","767.15"
"VSCode","Mindustry","15","16:55:07","0","765.16"
"VSCode","Mindustry","16","16:55:09","0","764.46"
"VSCode","Mindustry","15","16:55:11","0","754.02"
"VSCode","Mindustry","15","16:55:13","0","753.77"
"VSCode","Mindustry","15","16:55:15","0.05","753.65"
"VSCode","Mindustry","15","16:55:17","0","753.66"
"VSCode","Mindustry","15","16:55:20","0","753.5"
"VSCode","Mindustry","15","16:55:22","0","753.01"
"VSCode","Mindustry","15","16:55:24","0","752.63"
"VSCode","Mindustry","15","16:55:26","0","752.64"
"VSCode","Mindustry","15","16:55:28","0","752.66"
